Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
PTJPL,2021-06-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,31.386228,668
PTJPL,2021-06-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
PTJPL,2021-06-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,87.204464,39743
PTJPL,2021-06-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,94.290044,9502
PTJPL,2021-06-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,120.820926,159794
PTJPL,2021-06-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,114.577857,74425
PTJPL,2021-06-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,123.060743,9746
PTJPL,2021-06-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
PTJPL,2021-06-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
PTJPL,2021-06-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,95.139418,5982
PTJPL,2021-06-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,106.903102,2353
PTJPL,2021-06-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,33.765109,1605
PTJPL,2021-06-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,60.956449,137884
PTJPL,2021-06-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,125.583576,48489
PTJPL,2021-06-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,85.843866,538
PTJPL,2021-06-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
PTJPL,2021-06-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,87.275222,7870
PTJPL,2021-06-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
PTJPL,2021-06-01,5-054,5-054,ASH VALLEY,ASH VALLEY,120.71287,12106
PTJPL,2021-06-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
PTJPL,2021-06-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,84.323921,1877
PTJPL,2021-06-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,108.46129,620
PTJPL,2021-06-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,98.118721,219
PTJPL,2021-06-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,31.501961,510
PTJPL,2021-06-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
PTJPL,2021-06-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
PTJPL,2021-06-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
PTJPL,2021-06-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,137.205128,39
PTJPL,2021-06-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
PTJPL,2021-06-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
PTJPL,2021-06-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,15.562092,918
PTJPL,2021-06-01,5-015,5-015,BIG VALLEY,BIG VALLEY,86.973026,41040
PTJPL,2021-06-01,5-004,5-004,BIG VALLEY,BIG VALLEY,109.041175,163109
PTJPL,2021-06-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,46.671815,7575
PTJPL,2021-06-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
PTJPL,2021-06-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,33.858407,1130
PTJPL,2021-06-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,91.487013,154
PTJPL,2021-06-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,68.361614,17397
PTJPL,2021-06-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,37.916667,12
PTJPL,2021-06-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
PTJPL,2021-06-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,103.887529,4250
PTJPL,2021-06-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,89.975381,74902
PTJPL,2021-06-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,43.91247,7963
PTJPL,2021-06-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,59.059668,1324
PTJPL,2021-06-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,0
PTJPL,2021-06-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,0
PTJPL,2021-06-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,0
PTJPL,2021-06-01,6-101,6-101,BULL FLAT,BULL FLAT,83.604167,48
PTJPL,2021-06-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,108.790718,6852
PTJPL,2021-06-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,66.066321,1734
PTJPL,2021-06-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,0
PTJPL,2021-06-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,98.387539,149448
PTJPL,2021-06-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,0
PTJPL,2021-06-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,0
PTJPL,2021-06-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,0
PTJPL,2021-06-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,0
PTJPL,2021-06-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,19.89648,6250
PTJPL,2021-06-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,0
PTJPL,2021-06-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,0
PTJPL,2021-06-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,0
PTJPL,2021-06-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,32.547619,126
PTJPL,2021-06-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,,0
PTJPL,2021-06-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,109.574883,1282
PTJPL,2021-06-01,3-018,3-018,CARPINTERIA,CARPINTERIA,77.762484,12997
PTJPL,2021-06-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,21.870663,22739
PTJPL,2021-06-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,134.228224,10516
PTJPL,2021-06-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,28.083924,846
PTJPL,2021-06-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,,0
PTJPL,2021-06-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,,0
PTJPL,2021-06-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,154.879529,4250
PTJPL,2021-06-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,,0
PTJPL,2021-06-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,,0
PTJPL,2021-06-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,33.626866,67
PTJPL,2021-06-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,45.395869,17718
PTJPL,2021-06-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,104.151351,1295
PTJPL,2021-06-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,38.681018,511
PTJPL,2021-06-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,70.088184,4604
PTJPL,2021-06-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,138.154908,652
PTJPL,2021-06-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,74.901064,940
PTJPL,2021-06-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,90.704857,1606
PTJPL,2021-06-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,119.143384,2713
PTJPL,2021-06-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,100.001072,293745
PTJPL,2021-06-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,135.182004,978
PTJPL,2021-06-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,115.896067,356
PTJPL,2021-06-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,123.666809,7005
PTJPL,2021-06-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,111.789474,323
PTJPL,2021-06-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,117.359293,4186
PTJPL,2021-06-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,123.544357,4058
PTJPL,2021-06-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,108.997912,23946
PTJPL,2021-06-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,100.444539,3507
PTJPL,2021-06-01,6-072,6-072,COLES FLAT,COLES FLAT,,0
PTJPL,2021-06-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,61.935761,3845
PTJPL,2021-06-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,,0
PTJPL,2021-06-01,4-010,4-010,CONEJO,CONEJO,111.913655,498
PTJPL,2021-06-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,,0
PTJPL,2021-06-01,3-002.01,3-002,CORRALITOS,CORRALITOS - PAJARO VALLEY,76.612298,109205
PTJPL,2021-06-01,3-002.02,3-002,CORRALITOS,CORRALITOS - PURISIMA HIGHLANDS,74.299569,464
PTJPL,2021-06-01,6-055,6-055,COSO VALLEY,COSO VALLEY,,0
PTJPL,2021-06-01,1-037,1-037,COTTONEVA CREEK VALLEY,COTTONEVA CREEK VALLEY,,0
PTJPL,2021-06-01,9-027,9-027,COTTONWOOD VALLEY,COTTONWOOD VALLEY,69.357143,70
PTJPL,2021-06-01,1-011,1-011,COVELO ROUND VALLEY,COVELO ROUND VALLEY,100.850394,36576
PTJPL,2021-06-01,6-091,6-091,COW HEAD LAKE VALLEY,COW HEAD LAKE VALLEY,94.124177,15639
PTJPL,2021-06-01,6-037,6-037,COYOTE LAKE VALLEY,COYOTE LAKE VALLEY,21.70679,972
PTJPL,2021-06-01,5-018,5-018,COYOTE VALLEY,COYOTE VALLEY,72.240588,6534
PTJPL,2021-06-01,7-029,7-029,COYOTE WELLS VALLEY,COYOTE WELLS VALLEY,5.55,80
PTJPL,2021-06-01,6-035,6-035,CRONISE VALLEY,CRONISE VALLEY,,0
PTJPL,2021-06-01,6-050,6-050,CUDDEBACK VALLEY,CUDDEBACK VALLEY,,0
PTJPL,2021-06-01,5-082,5-082,CUDDY CANYON VALLEY,CUDDY CANYON VALLEY,,0
