MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
SSEBOP,2023-07-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,43.8982,47.0,18.0,70.0,28.1991,668
SSEBOP,2023-07-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
SSEBOP,2023-07-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,99.1922,100.0,81.0,120.0,31.491,39743
SSEBOP,2023-07-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,103.9286,108.0,85.0,131.0,39.4141,9502
SSEBOP,2023-07-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,151.7521,159.0,123.0,190.0,50.2245,159794
SSEBOP,2023-07-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,120.8378,131.0,78.0,163.0,55.6018,74425
SSEBOP,2023-07-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,152.0172,159.0,135.0,177.0,34.9225,9746
SSEBOP,2023-07-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
SSEBOP,2023-07-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
SSEBOP,2023-07-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,91.1934,92.0,68.0,114.0,34.4378,5982
SSEBOP,2023-07-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,93.6651,91.0,76.0,110.0,23.4077,2353
SSEBOP,2023-07-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,47.2636,51.0,24.0,65.0,26.6255,1605
SSEBOP,2023-07-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,90.2343,43.0,15.0,161.0,99.6118,137884
SSEBOP,2023-07-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,174.2498,184.0,150.0,207.0,47.3688,48489
SSEBOP,2023-07-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,46.3123,45.5,27.0,62.0,23.5147,538
SSEBOP,2023-07-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
SSEBOP,2023-07-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,90.1929,92.0,70.0,109.0,28.9073,7870
SSEBOP,2023-07-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
SSEBOP,2023-07-01,5-054,5-054,ASH VALLEY,ASH VALLEY,163.0686,169.0,148.0,186.0,31.5291,12106
SSEBOP,2023-07-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
SSEBOP,2023-07-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,62.2222,65.0,51.0,74.0,16.2684,1877
SSEBOP,2023-07-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,81.7806,85.0,55.0,105.5,31.6148,620
SSEBOP,2023-07-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,144.411,144.0,136.0,156.0,17.5058,219
SSEBOP,2023-07-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,32.0706,29.0,25.0,40.0,9.1677,510
SSEBOP,2023-07-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,,,,,0
SSEBOP,2023-07-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,,,,,0
SSEBOP,2023-07-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,,,,,0
SSEBOP,2023-07-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,66.3077,67.0,54.0,73.0,12.9895,39
SSEBOP,2023-07-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,,,,,0
SSEBOP,2023-07-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,,,,,0
SSEBOP,2023-07-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,10.4129,9.0,5.0,14.0,8.1202,918
SSEBOP,2023-07-01,5-015,5-015,BIG VALLEY,BIG VALLEY,93.8461,93.0,58.0,128.0,48.6107,41040
SSEBOP,2023-07-01,5-004,5-004,BIG VALLEY,BIG VALLEY,133.1223,144.0,95.0,178.0,57.4035,163109
SSEBOP,2023-07-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,49.8202,47.0,24.0,73.0,33.6503,7575
SSEBOP,2023-07-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,,,,,0
SSEBOP,2023-07-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,57.4947,58.0,47.0,67.0,16.5673,1130
SSEBOP,2023-07-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,97.3831,98.0,93.0,103.0,6.193,154
SSEBOP,2023-07-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,68.9673,50.0,8.0,121.0,65.0295,17397
SSEBOP,2023-07-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,30.0,31.5,23.5,37.5,10.8474,12
SSEBOP,2023-07-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,,,,,0
SSEBOP,2023-07-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,139.6541,169.0,100.0,189.0,66.2841,4250
SSEBOP,2023-07-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,196.6424,203.0,187.0,214.0,27.6152,74902
SSEBOP,2023-07-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,96.3202,8.0,0.0,226.0,113.2372,7963
SSEBOP,2023-07-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,143.824,143.0,89.0,199.0,66.528,1324
SSEBOP,2023-07-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,,,,,,0
SSEBOP,2023-07-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,,,,,,0
SSEBOP,2023-07-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,,,,,,0
SSEBOP,2023-07-01,6-101,6-101,BULL FLAT,BULL FLAT,111.4792,108.5,100.0,124.5,14.5817,48
SSEBOP,2023-07-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,133.1362,157.0,85.0,186.0,68.0545,6852
SSEBOP,2023-07-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,49.5536,45.0,29.0,68.0,26.0933,1734
SSEBOP,2023-07-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,,,,,,0
SSEBOP,2023-07-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,107.7729,119.0,55.0,158.0,59.7174,149448
SSEBOP,2023-07-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,,,,,,0
SSEBOP,2023-07-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,,,,,,0
SSEBOP,2023-07-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,,,,,,0
SSEBOP,2023-07-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,,,,,,0
SSEBOP,2023-07-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,38.8003,32.0,19.0,54.0,25.9148,6250
SSEBOP,2023-07-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,,,,,,0
SSEBOP,2023-07-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,,,,,,0
SSEBOP,2023-07-01,6-061,6-061,CAMEO AREA,CAMEO AREA,,,,,,0
SSEBOP,2023-07-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,27.2619,27.5,13.0,40.0,16.4066,126
