MODEL,DATE,HR_NAME,HR_ID,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
DISALEXI,2003-10-01,California Islands,0,8.2131,5.0,2.0,11.0,9.3688,61
DISALEXI,2003-11-01,California Islands,0,22.913,17.0,6.0,41.0,18.7758,115
DISALEXI,2003-12-01,California Islands,0,19.1043,14.0,3.0,34.0,16.6532,115
DISALEXI,2004-01-01,California Islands,0,27.9826,22.0,12.0,48.0,19.1779,115
DISALEXI,2004-02-01,California Islands,0,31.6087,27.0,19.0,43.0,16.0286,115
DISALEXI,2004-03-01,California Islands,0,83.4609,80.0,62.0,102.0,24.0226,115
DISALEXI,2004-04-01,California Islands,0,90.6,82.0,57.0,120.0,35.8768,115
DISALEXI,2004-05-01,California Islands,0,79.7304,64.0,36.0,118.0,53.6347,115
DISALEXI,2004-06-01,California Islands,0,87.8435,78.0,53.0,127.0,50.1529,115
DISALEXI,2004-07-01,California Islands,0,67.1565,67.0,34.0,99.0,43.4986,115
DISALEXI,2004-08-01,California Islands,0,19.7541,14.0,2.0,28.0,19.734,61
DISALEXI,2004-09-01,California Islands,0,37.1652,30.0,9.0,60.0,33.7366,115
DISALEXI,2004-10-01,California Islands,0,36.3304,32.0,20.0,45.0,20.0767,115
DISALEXI,2004-11-01,California Islands,0,38.1565,35.0,27.0,48.0,14.257,115
DISALEXI,2004-12-01,California Islands,0,24.713,19.0,14.0,35.0,15.0972,115
DISALEXI,2005-01-01,California Islands,0,33.6957,29.0,23.0,46.0,13.8734,115
DISALEXI,2005-02-01,California Islands,0,33.3652,28.0,21.0,46.0,14.4248,115
DISALEXI,2005-03-01,California Islands,0,57.2697,51.0,43.0,69.0,18.1398,89
DISALEXI,2005-04-01,California Islands,0,103.8957,98.0,77.0,138.0,30.6116,115
DISALEXI,2005-05-01,California Islands,0,131.313,119.0,93.0,177.0,44.6656,115
DISALEXI,2005-06-01,California Islands,0,125.5913,99.0,74.0,179.0,56.8311,115
DISALEXI,2005-07-01,California Islands,0,83.7816,72.0,53.0,106.0,41.1511,87
DISALEXI,2005-08-01,California Islands,0,39.7478,15.0,6.0,65.0,44.8884,115
DISALEXI,2005-09-01,California Islands,0,50.3652,38.0,18.0,83.0,38.6078,115
DISALEXI,2005-10-01,California Islands,0,31.087,21.0,9.0,49.0,27.4966,115
DISALEXI,2005-11-01,California Islands,0,17.4435,8.0,3.0,31.0,18.6399,115
DISALEXI,2005-12-01,California Islands,0,22.6435,16.0,9.0,39.0,16.6107,115
DISALEXI,2006-01-01,California Islands,0,31.8,27.0,20.0,48.0,15.896,115
DISALEXI,2006-02-01,California Islands,0,37.9043,33.0,21.0,52.0,20.003,115
DISALEXI,2006-03-01,California Islands,0,58.1652,58.0,29.0,84.0,30.633,115
DISALEXI,2006-04-01,California Islands,0,92.0,91.5,72.0,106.0,21.5555,106
DISALEXI,2006-05-01,California Islands,0,158.0696,155.0,142.0,174.0,27.9692,115
DISALEXI,2006-06-01,California Islands,0,154.9826,144.0,122.0,189.0,40.3118,115
DISALEXI,2006-07-01,California Islands,0,144.7217,129.0,104.0,189.0,48.4546,115
DISALEXI,2006-08-01,California Islands,0,96.9913,93.0,75.0,117.0,38.3282,115
DISALEXI,2006-09-01,California Islands,0,60.1826,58.0,38.0,78.0,28.9364,115
DISALEXI,2006-10-01,California Islands,0,46.4174,45.0,30.0,60.0,22.3848,115
DISALEXI,2006-11-01,California Islands,0,27.7478,24.0,12.0,41.0,19.7162,115
DISALEXI,2006-12-01,California Islands,0,27.8435,24.0,18.0,38.0,14.8667,115
DISALEXI,2007-01-01,California Islands,0,29.2174,23.0,14.0,43.0,19.3084,115
DISALEXI,2007-02-01,California Islands,0,38.6087,35.0,26.0,51.0,17.4315,115
DISALEXI,2007-03-01,California Islands,0,78.2957,76.0,66.0,94.0,22.9953,115
DISALEXI,2007-04-01,California Islands,0,88.6261,91.0,66.0,113.0,35.302,115
DISALEXI,2007-05-01,California Islands,0,113.887,117.0,64.0,159.0,57.9167,115
DISALEXI,2007-06-01,California Islands,0,108.7217,111.0,70.0,151.0,52.0297,115
DISALEXI,2007-07-01,California Islands,0,108.6609,109.0,82.0,140.0,42.8352,115
DISALEXI,2007-08-01,California Islands,0,77.7391,76.0,59.0,101.0,40.2911,115
DISALEXI,2007-09-01,California Islands,0,52.8696,50.0,33.0,68.0,28.9268,115
DISALEXI,2007-10-01,California Islands,0,46.5179,43.5,32.0,57.0,22.932,112
DISALEXI,2007-11-01,California Islands,0,24.25,20.5,13.5,33.5,13.1696,8
DISALEXI,2007-12-01,California Islands,0,17.75,14.5,12.5,22.5,8.9965,8
DISALEXI,2008-01-01,California Islands,0,21.0,18.0,15.0,26.5,7.8262,8
DISALEXI,2008-02-01,California Islands,0,47.0261,45.0,38.0,54.0,12.8777,115
DISALEXI,2008-03-01,California Islands,0,94.1565,94.0,76.0,111.0,22.1381,115
DISALEXI,2008-04-01,California Islands,0,110.2783,106.0,96.0,127.0,25.3931,115
DISALEXI,2008-05-01,California Islands,0,114.687,114.0,93.0,134.0,31.9569,115
DISALEXI,2008-06-01,California Islands,0,115.1826,116.0,90.0,137.0,36.651,115
DISALEXI,2008-07-01,California Islands,0,79.0984,83.0,55.0,106.0,31.6299,61
DISALEXI,2008-08-01,California Islands,0,66.2,67.0,36.0,83.0,34.0532,115
DISALEXI,2008-09-01,California Islands,0,60.2522,61.0,37.0,80.0,28.6462,115
DISALEXI,2008-10-01,California Islands,0,34.7565,32.0,19.0,49.0,22.3481,115
DISALEXI,2008-11-01,California Islands,0,27.9913,26.0,17.0,41.0,16.6527,115
DISALEXI,2008-12-01,California Islands,0,31.3478,30.0,21.0,40.0,13.0091,115
DISALEXI,2009-01-01,California Islands,0,41.6783,40.0,29.0,53.0,14.8468,115
DISALEXI,2009-02-01,California Islands,0,36.8435,35.0,28.0,45.0,12.6509,115
DISALEXI,2009-03-01,California Islands,0,77.6696,75.0,59.0,91.0,24.6389,115
DISALEXI,2009-04-01,California Islands,0,79.8,73.0,60.0,99.0,31.2708,115
DISALEXI,2009-05-01,California Islands,0,87.402,86.0,71.0,107.0,28.6792,102
DISALEXI,2009-06-01,California Islands,0,92.5574,94.0,74.0,115.0,27.4922,61
DISALEXI,2009-07-01,California Islands,0,93.4609,95.0,74.0,108.0,26.1777,115
DISALEXI,2009-08-01,California Islands,0,60.6174,57.0,37.0,80.0,30.6386,115
DISALEXI,2009-09-01,California Islands,0,56.3478,53.0,41.0,69.0,24.0821,115
DISALEXI,2009-10-01,California Islands,0,42.913,38.0,28.0,54.0,19.794,115
DISALEXI,2009-11-01,California Islands,0,25.4261,20.0,12.0,37.0,18.0435,115
DISALEXI,2009-12-01,California Islands,0,19.3391,15.0,6.0,31.0,14.8751,115
