MODEL,DATE,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET_MEAN,ET_MEDIAN,ET_PCT25,ET_PCT75,ET_STDDEV,PIXEL_COUNT
EEMETRIC,2019-06-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,60.235,67.0,36.0,81.0,26.7515,668
EEMETRIC,2019-06-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,,,,,0
EEMETRIC,2019-06-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,88.3467,89.0,73.0,105.0,22.6985,39743
EEMETRIC,2019-06-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,89.3004,89.0,76.0,103.0,20.1099,9502
EEMETRIC,2019-06-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,134.1386,140.0,117.0,159.0,35.1018,159280
EEMETRIC,2019-06-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,123.0424,128.0,107.0,144.0,30.9225,74425
EEMETRIC,2019-06-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,158.9969,168.0,153.0,178.0,31.4065,9746
EEMETRIC,2019-06-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,,,,,0
EEMETRIC,2019-06-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,,,,,0
EEMETRIC,2019-06-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,93.6956,93.0,79.0,106.0,23.582,5982
EEMETRIC,2019-06-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,94.4547,94.0,82.0,107.0,20.6681,2353
EEMETRIC,2019-06-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,110.6312,114.0,94.0,129.0,23.2533,1605
EEMETRIC,2019-06-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,88.2354,55.0,27.0,159.0,77.6265,136108
EEMETRIC,2019-06-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,138.2408,146.0,128.0,159.0,32.4696,48489
EEMETRIC,2019-06-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,105.2398,108.5,99.0,112.0,9.1822,538
EEMETRIC,2019-06-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,,,,,0
EEMETRIC,2019-06-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,89.829,86.0,75.0,103.0,19.5594,7870
EEMETRIC,2019-06-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,,,,,0
EEMETRIC,2019-06-01,5-054,5-054,ASH VALLEY,ASH VALLEY,135.2106,138.0,120.0,155.0,33.9369,12106
EEMETRIC,2019-06-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,,,,,0
EEMETRIC,2019-06-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,93.041,91.0,81.0,105.0,14.7748,1877
