Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SIMS,2020-04-01,4-005,4-005,ACTON VALLEY,ACTON VALLEY,68.272921,469
SIMS,2020-04-01,6-010,6-010,ADOBE LAKE VALLEY,ADOBE LAKE VALLEY,,0
SIMS,2020-04-01,1-054.01,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - ALEXANDER AREA,69.662582,39577
SIMS,2020-04-01,1-054.02,1-054,ALEXANDER VALLEY,ALEXANDER VALLEY - CLOVERDALE AREA,69.662695,9484
SIMS,2020-04-01,5-002.01,5-002,ALTURAS AREA,ALTURAS AREA - SOUTH FORK PITT RIVER,65.78777,157895
SIMS,2020-04-01,5-002.02,5-002,ALTURAS AREA,ALTURAS AREA - WARM SPRINGS VALLEY,64.846653,72059
SIMS,2020-04-01,5-010,5-010,AMERICAN VALLEY,AMERICAN VALLEY,104.741885,9643
SIMS,2020-04-01,7-016,7-016,AMES VALLEY,AMES VALLEY,,0
SIMS,2020-04-01,7-034,7-034,AMOS VALLEY,AMOS VALLEY,,0
SIMS,2020-04-01,1-019,1-019,ANDERSON VALLEY,ANDERSON VALLEY,85.959508,5853
SIMS,2020-04-01,1-049,1-049,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,ANNAPOLIS OHLSON RANCH FORMATION HIGHLANDS,74.076149,2285
SIMS,2020-04-01,5-091,5-091,ANTELOPE CREEK,ANTELOPE CREEK,62.764486,1605
SIMS,2020-04-01,6-044,6-044,ANTELOPE VALLEY,ANTELOPE VALLEY,95.165221,131406
SIMS,2020-04-01,6-007,6-007,ANTELOPE VALLEY,ANTELOPE VALLEY,82.764915,47302
SIMS,2020-04-01,3-034,3-034,ARROYO DE LA CRUZ VALLEY,ARROYO DE LA CRUZ VALLEY,95.921933,538
SIMS,2020-04-01,2-031,2-031,ARROYO DEL HAMBRE VALLEY,ARROYO DEL HAMBRE VALLEY,,0
SIMS,2020-04-01,4-007,4-007,ARROYO SANTA ROSA VALLEY,ARROYO SANTA ROSA VALLEY,80.273771,7751
SIMS,2020-04-01,7-037,7-037,ARROYO SECO VALLEY,ARROYO SECO VALLEY,,0
SIMS,2020-04-01,5-054,5-054,ASH VALLEY,ASH VALLEY,68.496569,12095
SIMS,2020-04-01,6-026,6-026,AVAWATZ VALLEY,AVAWATZ VALLEY,,0
SIMS,2020-04-01,3-020,3-020,A�O NUEVO AREA,A�O NUEVO AREA,64.851891,1877
SIMS,2020-04-01,9-022,9-022,BATIQUITOS LAGOON VALLEY,BATIQUITOS LAGOON VALLEY,,0
SIMS,2020-04-01,8-009,8-009,BEAR VALLEY,BEAR VALLEY,,0
SIMS,2020-04-01,5-064,5-064,BEAR VALLEY,BEAR VALLEY,119.152941,510
SIMS,2020-04-01,5-020,5-020,BERRYESSA VALLEY,BERRYESSA VALLEY,,0
SIMS,2020-04-01,7-015,7-015,BESSEMER VALLEY,BESSEMER VALLEY,,0
SIMS,2020-04-01,6-025,6-025,BICYCLE VALLEY,BICYCLE VALLEY,,0
SIMS,2020-04-01,1-027,1-027,BIG LAGOON AREA,BIG LAGOON AREA,79.0,24
SIMS,2020-04-01,8-007,8-007,BIG MEADOWS VALLEY,BIG MEADOWS VALLEY,,0
SIMS,2020-04-01,1-045,1-045,BIG RIVER VALLEY,BIG RIVER VALLEY,,0
SIMS,2020-04-01,3-047,3-047,BIG SPRING AREA,BIG SPRING AREA,60.415033,918
SIMS,2020-04-01,5-015,5-015,BIG VALLEY,BIG VALLEY,88.248905,40654
SIMS,2020-04-01,5-004,5-004,BIG VALLEY,BIG VALLEY,59.883244,162535
SIMS,2020-04-01,3-030,3-030,BITTER WATER VALLEY,BITTER WATER VALLEY,85.381355,7573
SIMS,2020-04-01,6-013,6-013,BLACK SPRINGS VALLEY,BLACK SPRINGS VALLEY,,0
SIMS,2020-04-01,5-092,5-092,BLANCHARD VALLEY,BLANCHARD VALLEY,82.961027,1129
SIMS,2020-04-01,1-057,1-057,BODEGA BAY AREA,BODEGA BAY AREA,,0
SIMS,2020-04-01,7-024.01,7-024,BORREGO VALLEY,BORREGO VALLEY - BORREGO SPRINGS,82.419889,16190
SIMS,2020-04-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,,0
SIMS,2020-04-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,,0
SIMS,2020-04-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,50.816048,4175
